Region,Latitude,Longitude
Agripada,18.97504,72.8250555
Airoli,19.1585147,72.9994019
Ambarnath,19.186354,"	73.191948"
Ambernath East,19.182517,73.192602
Ambernath West,19.210558,73.186738
Andheri East,19.1158835,72.854202
Andheri West,19.1172495,72.833968
Anjurdive,19.18,73.2
Badlapur East,19.1545,73.2356
Badlapur West,19.1699,73.2518
Bandra East,19.0616565,72.8498111
Bandra Kurla Complex,19.067115,72.8657245
Bandra West,19.0583358,72.8302669
Belapur,19.0051696,73.0282853
Bhandup East,19.1378308,72.9361964
Bhandup West,19.1462636,72.9339461
Bhayandar East,19.3043,72.859
Bhayandar West,19.3008,72.8467
Bhiwandi,19.2813,73.0483
Boisar,19.80362,72.75598
Borivali East,19.2267228,72.8619328
Borivali West,19.2298129,72.8471376
Byculla,18.9766219,72.8327936
Chembur,19.054818,72.8979713
Colaba,18.915091,72.8259691
Dadar East,19.0162531,72.8522274
Dadar West,19.0238887,72.8382236
Dahisar,19.2493572,72.8596302
Deonar,19.0475502,72.9051895
Diva,19.2300117,73.0281438
Dombivali,19.2094,73.0939
Dombivali East,19.2161,73.099
Dronagiri,18.8584694,72.9351104
Ghansoli,19.1163797,73.0069928
Ghatkopar East,19.0834898,72.9120255
Ghatkopar West,19.0897194,72.9045972
Girgaon,18.9521477,72.8220576
Goregaon East,19.1692623,72.8552548
Goregaon West,19.1633281,72.8411995
Jogeshwari East,19.1429335,72.8552066
Jogeshwari West,19.136394,72.8373817
Juhu,19.1070215,72.8275275
Juinagar,19.0559456,73.0182495
Kalamboli,19.0235062,73.1106092
Kalyan East,19.244636,73.13054
Kalyan West,19.0713588,73.123527
Kamothe,19.0164338,73.0806552
Kandivali East,19.2051958,72.8626165
Kandivali West,19.2055321,72.8399273
Kanjurmarg,19.124102,72.9385562
Karanjade,18.9733,73.1099
Karjat,18.9734913,73.1547241
Khar,19.0682411,72.8400412
Kharghar,19.025773,73.0591845
Khopoli,18.7856,73.34589
Koper Khairane,19.1045,73.0033
Kurla,19.0655397,72.8795636
Lower Parel,18.99568,72.8302756
Mahalaxmi,18.9825203,72.8242196
Mahim,19.0423145,72.8398344
Malad East,19.1860219,72.8563181
Malad West,19.1852851,72.8358611
Marine Lines,18.945764,72.8237193
Matunga,19.0274356,72.8501467
Mazagaon,18.9671362,72.8397279
Mira Road East,19.2856,72.8691
Mulund East,19.1704719,72.9610447
Mulund West,19.1719717,72.9511956
Nahur East,19.1550738,72.9469187
Naigaon East,19.0138034,72.8463224
Nala Sopara,19.4199,72.8177
Neral,19.023,73.3175
Nerul,19.0335938,73.018164
Nilje Gaon,19.1557,73.078
Palghar,19.3183904,72.8991697
Panvel,18.9894,73.1175
Parel,19.0094817,72.8376614
Powai,19.1187195,72.9073476
Prabhadevi,19.0074717,72.8358965
Rasayani,18.8931,73.1701
Sanpada,19.0659774,73.0095329
Santacruz East,19.0781806,72.8677752
Santacruz West,19.0844004,72.8372899
Seawoods,19.0213683,73.018939
Sewri,18.9987796,72.8544218
Shil Phata,19.1108804,73.0031362
Sion,19.0465213,72.8632834
Taloja,19.0833,73.0833
Tardeo,18.9645237,72.8209188
Thane East,19.2183407,"	72.9780797"
Thane West,19.226662,72.983833
Titwala, 19.299000,73.223839
Ulhasnagar,19.2215,73.1645
Ulwe,18.972,73.0348
Umroli,19.7565,72.7585
Vasai,19.3508311,72.8938078
Vashi,19.0632481,72.9987966
Vikhroli,19.1114795,72.928021
Ville Parle East,19.0964,72.8564
Ville Parle West,19.1159409,72.8312863
Virar,19.5063691,72.8434536
Wadala,19.0269192,72.8759337
Worli,19.0085959,72.8192943
